Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,20.41,21.65,20.41,21.549999,7242600,9.816425
2009-01-05,21.459999,21.700001,20.99,21.389999,10823600,9.743542
2009-01-06,21.620001,21.950001,21.049999,21.709999,11349400,9.889308
2009-01-07,21.49,22.01,21.35,21.709999,11755200,9.889308
2009-01-08,21.48,21.68,20.74,21.49,17132800,9.789094
2009-01-09,21.48,21.75,20.610001,20.799999,14032400,9.474786
2009-01-12,20.709999,20.92,20.469999,20.639999,9947400,9.401903
2009-01-13,20.709999,20.9,20.08,20.33,13629600,9.260693
2009-01-14,20.059999,20.129999,19.530001,19.58,11039800,8.919054
2009-01-15,19.59,20.59,19.16,20.200001,13863600,9.201476
2009-01-16,20.459999,20.76,19.91,20.65,10817600,9.406458
2009-01-20,20.549999,20.549999,19.49,19.530001,9986800,8.896278
2009-01-21,19.959999,20.040001,19.35,19.959999,10970400,9.09215
2009-01-22,19.42,20.639999,19.360001,20.209999,12775600,9.20603
2009-01-23,19.530001,20.190001,19.530001,19.92,9443400,9.07393
2009-01-26,19.889999,20.639999,19.870001,20.23,6893600,9.215141
2009-01-27,20.459999,20.629999,20.059999,20.26,8322000,9.228806
2009-01-28,20.620001,21.059999,20.42,20.870001,9477600,9.506673
2009-01-29,20.82,20.9,19.969999,20.049999,7352400,9.133147
2009-01-30,20.1,20.1,19.25,19.42,9109800,8.846171
2009-02-02,19.23,19.780001,19.190001,19.469999,9197000,8.868946
2009-02-03,19.66,19.99,19.25,19.809999,11557600,9.023823
2009-02-04,19.33,20.200001,19.33,19.92,12253800,9.07393
2009-02-05,20.5,22.18,20.440001,22.059999,22264800,10.048739
2009-02-06,22.120001,23.41,21.809999,22.82,17486400,10.394934
2009-02-09,22.879999,22.940001,22.1,22.5,9646600,10.249168
2009-02-10,22.25,22.549999,21.440001,21.73,10946000,9.947048
2009-02-11,21.719999,22.08,21.41,21.83,9741800,9.992824
2009-02-12,21.65,21.969999,21.16,21.940001,10705800,10.043178
2009-02-13,21.83,22.18,21.469999,21.639999,7784200,9.90585
2009-02-17,21.09,21.75,20.700001,21.43,11057800,9.809722
2009-02-18,21.719999,21.719999,20.93,21.370001,9728800,9.782257
2009-02-19,21.51,22.040001,21.280001,21.35,8221400,9.773101
2009-02-20,21.0,21.58,20.700001,21.299999,9051600,9.750213
2009-02-23,21.65,21.65,20.700001,20.790001,9335000,9.516758
2009-02-24,20.92,21.67,20.73,21.540001,11138400,9.860075
