Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,4.12,4.2,4.04,4.2,3442100,3.98609
2009-01-05,4.22,4.25,4.1,4.2,3859300,3.98609
2009-01-06,4.26,4.47,4.21,4.41,6519100,4.1854
2009-01-07,4.33,4.54,4.33,4.5,4744800,4.27081
2009-01-08,4.49,4.51,4.36,4.5,2379600,4.27081
2009-01-09,4.39,4.44,4.18,4.2,4887200,3.98609
2009-01-12,4.25,4.25,4.12,4.17,3783000,3.95762
2009-01-13,4.28,4.34,4.12,4.14,3271600,3.92915
2009-01-14,4.08,4.1,4.0,4.03,4978600,3.82475
2009-01-15,3.98,4.14,3.92,4.08,6223100,3.8722
2009-01-16,4.15,4.16,3.85,3.94,8677700,3.73933
2009-01-20,3.85,3.98,3.77,3.79,3678500,3.59697
2009-01-21,3.85,4.1,3.77,4.08,7180700,3.8722
2009-01-22,3.94,4.09,3.86,4.04,4919700,3.83424
2009-01-23,3.95,4.26,3.8999,4.24,7577000,4.02405
2009-01-26,4.25,4.37,4.02,4.03,12077600,3.82475
2009-01-27,4.18,4.46,4.16,4.42,11121800,4.19489
2009-01-28,4.46,4.48,4.1,4.21,7386500,3.99558
2009-01-29,4.1,4.28,4.1,4.2,3673700,3.98609
2009-01-30,4.25,4.34,4.09,4.13,4830400,3.91966
2009-02-02,4.09,4.58,4.02,4.23,6021600,4.01456
2009-02-03,4.29,4.31,4.16,4.22,7999100,4.00507
2009-02-04,4.23,4.26,4.0875,4.12,6993900,3.91017
2009-02-05,4.1,4.1202,4.0,4.08,5834300,3.8722
2009-02-06,4.07,4.2,4.03,4.15,3886600,3.93864
2009-02-09,4.14,4.27,4.06,4.24,6654800,4.02405
2009-02-10,4.2,4.27,3.97,4.0,5817800,3.79628
2009-02-11,4.01,4.07,3.96,4.06,3888600,3.85322
2009-02-12,3.96,4.08,3.89,4.06,3795000,3.85322
2009-02-13,4.0,4.12,3.94,3.95,3613000,3.74882
2009-02-17,4.02,4.02,3.77,3.78,5004000,3.58748
2009-02-18,3.8,3.95,3.76,3.86,3974300,3.66341
2009-02-19,3.88,3.9,3.67,3.67,3053000,3.48308
2009-02-20,3.71,3.78,3.61,3.77,4598400,3.57799
2009-02-23,3.86,3.88,3.66,3.67,5484600,3.48308
2009-02-24,3.63,4.0,3.63,3.97,4721300,3.7678
2009-02-25,3.9,4.11,3.86,4.04,5990400,3.83424
2009-02-26,3.95,4.04,3.79,3.81,2454500,3.61595
2009-02-27,3.8,3.91,3.77,3.8,3356300,3.60646
2009-03-02,3.79,3.79,3.66,3.75,4406800,3.55901
2009-03-03,3.79,3.9,3.52,3.66,5660500,3.47359
2009-03-04,3.58,3.93,3.58,3.83,4577900,3.63493
2009-03-05,3.71,3.77,3.6175,3.62,3360800,3.43563
2009-03-06,3.66,3.79,3.53,3.78,4190300,3.58748
2009-03-09,3.74,3.92,3.69,3.75,5139900,3.55901
2009-03-10,3.81,4.09,3.77,4.03,6518500,3.82475
2009-03-11,4.03,4.03,3.92,3.94,4446300,3.73933
2009-03-12,3.94,4.08,3.88,4.07,5367100,3.86271
2009-03-13,4.09,4.18,3.99,4.14,5048400,3.92915
2009-03-16,4.15,4.18,4.05,4.07,6290000,3.86271
2009-03-17,4.11,4.27,4.04,4.27,3784700,4.05253
2009-03-18,4.25,4.37,4.16,4.36,3905000,4.13794
2009-03-19,4.37,4.42,4.19,4.29,4251800,4.07151
2009-03-20,4.36,4.38,4.05,4.1,5077800,3.89118
2009-03-23,4.37,4.4,4.16,4.38,7693400,4.15692
2009-03-24,4.34,4.37,4.23,4.23,3623100,4.01456
2009-03-25,4.2,4.52,4.2,4.43,8206500,4.20438
2009-03-26,4.48,4.66,4.45,4.66,4912300,4.42266
2009-03-27,4.58,4.78,4.55,4.76,6123100,4.51757
2009-03-30,4.65,4.66,4.32,4.37,5875200,4.14743
2009-03-31,4.4,4.68,4.37,4.58,6774600,4.34674
2009-04-01,4.51,4.76,4.45,4.74,4476800,4.49859
2009-04-02,4.81,5.09,4.79,4.98,8310700,4.72636
2009-04-03,4.97,4.97,4.7,4.86,8067500,4.61248
2009-04-06,4.69,4.72,4.57,4.62,5991500,4.3847
2009-04-07,4.51,4.62,4.46,4.57,6158900,4.33725
2009-04-08,4.68,4.72,4.55,4.69,2638200,4.45113
2009-04-09,4.8,4.83,4.64,4.72,5262400,4.47961
2009-04-13,4.62,4.67,4.54,4.59,5088400,4.35623
2009-04-14,4.62,4.63,4.49,4.55,4457700,4.31827
2009-04-15,4.51,4.92,4.47,4.88,10304900,4.63146
2009-04-16,4.95,4.97,4.77,4.85,8492800,4.60299
2009-04-17,4.87,4.97,4.76,4.91,4511400,4.65993
2009-04-20,4.79,4.96,4.74,4.92,6602400,4.66942
2009-04-21,4.9,4.96,4.81,4.94,4245600,4.6884
2009-04-22,4.89,5.03,4.8,4.89,6028700,4.64095
2009-04-23,4.92,4.97,4.85,4.94,6223700,4.6884
2009-04-24,4.94,5.26,4.89,5.17,7492100,4.90669
2009-04-27,5.1,5.22,4.93,4.99,9114000,4.73586
2009-04-28,5.17,5.47,5.08,5.17,20926100,4.90669
2009-04-29,5.21,5.41,5.08,5.35,11759500,5.07752
2009-04-30,5.37,5.4,5.22,5.24,7451800,4.97312
2009-05-01,5.22,5.29,5.07,5.17,5827600,4.90669
2009-05-04,5.26,5.43,5.2,5.43,6577300,5.15345
2009-05-05,5.4,5.45,5.18,5.31,6178100,5.03956
2009-05-06,5.32,5.38,5.23,5.37,6589300,5.0965
2009-05-07,5.38,5.38,5.0,5.07,8421300,4.81178
2009-05-08,5.11,5.248,5.04,5.21,4991800,4.94465
2009-05-11,5.24,5.256,4.98,5.03,6022100,4.77382
2009-05-12,5.06,5.06,4.86,4.95,7719400,4.69789
2009-05-13,4.83,4.89,4.71,4.81,7856100,4.56502
2009-05-14,4.75,4.94,4.75,4.84,5401700,4.5935
2009-05-15,4.9,4.92,4.79,4.86,5319600,4.61248
2009-05-18,4.91,4.95,4.85,4.93,4698300,4.67891
2009-05-19,4.95,5.36,4.91,5.24,9675200,4.97312
2009-05-20,5.24,5.5,5.23,5.32,11665600,5.04905
2009-05-21,5.03,5.23,5.02,5.13,8484700,4.86873
2009-05-22,5.12,5.26,5.05,5.21,5174500,4.94465
2009-05-26,5.13,5.41,5.13,5.38,7590000,5.10599
2009-05-27,5.4,5.47,5.35,5.41,7143200,5.13446
2009-05-28,5.41,5.49,5.3,5.47,6102200,5.19141
2009-05-29,5.5,5.59,5.44,5.55,8984700,5.26733
2009-06-01,5.6,5.88,5.56,5.85,9008500,5.55205
2009-06-02,5.85,5.86,5.71,5.77,7328300,5.47613
2009-06-03,5.75,5.8,5.58,5.7,5954500,5.40969
2009-06-04,5.86,5.96,5.73,5.9,5649700,5.59951
2009-06-05,6.0,6.02,5.71,5.83,7564900,5.53307
2009-06-08,5.85,6.0,5.76,5.96,4996300,5.65645
2009-06-09,5.94,6.02,5.89,5.95,4168400,5.64696
2009-06-10,6.0,6.0,5.69,5.81,4667000,5.51409
2009-06-11,5.84,5.94,5.76,5.87,2836300,5.57104
2009-06-12,5.86,5.91,5.76,5.82,4638400,5.52358
2009-06-15,5.7,5.8,5.7,5.76,3445600,5.46664
2009-06-16,5.78,5.83,5.61,5.63,3999900,5.34326
2009-06-17,5.66,5.81,5.61,5.79,4395000,5.49511
2009-06-18,5.79,5.95,5.69,5.83,8071200,5.53307
2009-06-19,5.78,5.85,5.74,5.78,6111900,5.48562
2009-06-22,5.73,5.75,5.57,5.62,4420500,5.33377
2009-06-23,5.61,5.69,5.5,5.54,5863800,5.25784
2009-06-24,5.58,5.79,5.54,5.71,5843700,5.41919
2009-06-25,5.7,5.95,5.7,5.94,5570400,5.63747
2009-06-26,5.89,6.011,5.66,5.68,10207800,5.39071
2009-06-29,5.65,5.8825,5.65,5.8,5883600,5.5046
2009-06-30,5.78,5.83,5.67,5.73,5812500,5.43817
2009-07-01,5.75,5.88,5.71,5.83,3669500,5.53307
2009-07-02,5.75,5.81,5.58,5.6,5121600,5.31479
2009-07-06,5.49,5.65,5.38,5.52,7903100,5.23886
2009-07-07,5.4,5.52,5.17,5.18,10234200,4.91618
2009-07-08,5.2,5.2301,4.96,5.04,10316200,4.78331
2009-07-09,5.05,5.22,4.96,5.16,5763600,4.8972
2009-07-10,5.14,5.2,5.05,5.17,3845100,4.90669
2009-07-13,5.17,5.22,5.06,5.18,7539000,4.91618
2009-07-14,5.18,5.25,5.13,5.22,6366400,4.95414
2009-07-15,5.34,5.46,5.29,5.43,7592700,5.15345
2009-07-16,5.45,5.46,5.32,5.39,6315200,5.11548
