Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,14.0,14.95,13.85,14.86,1338100,13.268651
2009-01-05,14.88,15.0,14.6,14.85,826400,13.259723
2009-01-06,15.06,15.07,14.73,14.81,865300,13.224006
2009-01-07,14.63,14.75,14.44,14.5,641800,12.947204
2009-01-08,14.42,14.63,14.31,14.6,553600,13.036495
2009-01-09,14.63,14.68,14.16,14.19,943400,12.670401
2009-01-12,14.24,14.37,14.11,14.31,934900,12.777551
2009-01-13,14.33,14.46,14.1,14.27,899200,12.741835
2009-01-14,14.02,14.06,13.57,13.69,1106800,12.223946
2009-01-15,13.74,13.96,13.46,13.82,1119200,12.340024
2009-01-16,14.09,14.23,13.58,13.81,1700800,12.331096
2009-01-20,13.8,13.85,12.91,12.94,2034700,11.554263
2009-01-21,13.25,13.46,12.88,13.4,1337600,11.965002
2009-01-22,13.02,13.38,12.94,13.07,1194900,11.670341
2009-01-23,12.96,12.98,12.61,12.72,1858700,11.357823
2009-01-26,12.79,13.2,12.65,12.9,1194400,11.518546
2009-01-27,12.84,13.48,12.78,13.34,1765800,11.911428
2009-01-28,13.75,13.75,13.12,13.33,2022100,11.902498
2009-01-29,13.04,13.27,12.96,13.03,2479500,11.634625
2009-01-30,13.15,13.25,12.62,12.66,1867600,11.304248
2009-02-02,12.55,13.13,12.51,13.0,1916200,11.607838
2009-02-03,13.03,13.28,12.97,13.11,1435300,11.706058
2009-02-04,13.15,13.35,12.99,13.06,1056700,11.661413
2009-02-05,12.88,13.49,12.88,13.35,1344800,11.920357
2009-02-06,13.35,13.71,13.3,13.67,1125000,12.206088
2009-02-09,13.58,13.72,13.37,13.48,912300,12.036434
2009-02-10,13.33,13.49,12.8,12.86,2078100,11.48283
2009-02-11,12.98,13.2,12.9,13.1,1584600,11.697129
2009-02-12,12.91,13.29,12.69,13.27,2152700,11.848924
2009-02-13,13.24,13.48,13.15,13.2,1392500,11.78642
2009-02-17,12.88,13.03,11.9,12.64,1751000,11.28639
2009-02-18,12.71,13.22,12.59,12.85,2344800,11.473902
2009-02-19,12.84,13.37,12.72,12.76,1652800,11.393539
2009-02-20,12.56,12.91,11.88,12.73,2028600,11.366752
2009-02-23,12.69,12.9,12.26,12.29,1484500,10.973871
2009-02-24,12.43,12.84,12.26,12.78,2024000,11.411397
2009-02-25,13.16,13.29,12.43,12.69,1721600,11.331035
2009-02-26,12.67,12.88,12.49,12.56,1231000,11.214958
2009-02-27,12.34,12.88,12.22,12.58,1744400,11.232815
2009-03-02,12.38,12.64,12.22,12.23,1749400,10.920296
2009-03-03,12.28,12.5,12.08,12.21,1719700,10.902438
2009-03-04,12.38,12.48,12.17,12.33,1786700,11.009588
2009-03-05,11.96,12.23,11.88,11.98,1983500,10.697069
2009-03-06,12.08,12.11,11.52,11.82,2258500,10.554203
2009-03-09,11.59,11.9,11.33,11.4,2240800,10.17918
2009-03-10,11.7,12.06,11.45,12.06,2043300,10.768502
2009-03-11,12.17,12.17,11.95,12.09,1459500,10.795289
2009-03-12,12.11,12.45,11.76,12.42,2180500,11.08995
2009-03-13,12.41,12.95,12.39,12.94,1740200,11.554263
2009-03-16,13.0,13.24,12.85,12.89,1923800,11.509618
2009-03-17,12.78,13.05,12.65,13.05,1359600,11.716109
2009-03-18,13.09,13.45,12.9,13.34,2258000,11.976466
2009-03-19,13.34,13.5,13.19,13.19,1614700,11.841798
2009-03-20,13.31,13.52,13.03,13.03,1951100,11.698152
2009-03-23,13.19,13.65,13.15,13.65,1980500,12.25478
2009-03-24,13.42,13.71,13.27,13.27,1479700,11.913622
2009-03-25,13.47,13.81,13.29,13.61,1438400,12.218868
2009-03-26,13.7,14.0,13.65,13.93,1508000,12.50616
2009-03-27,13.77,13.96,13.69,13.76,1511700,12.353537
2009-03-30,13.55,13.74,13.43,13.69,1886800,12.290691
2009-03-31,13.79,13.97,13.66,13.81,1728200,12.398426
2009-04-01,13.65,14.1,13.52,13.98,2092400,12.551049
2009-04-02,14.23,14.67,14.09,14.3,2409200,12.838341
