Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,15.5,16.17,15.4,16.040001,15194500,13.417984
2009-01-05,15.9,16.049999,15.58,15.86,11656300,13.267407
2009-01-06,15.96,16.700001,15.87,16.450001,14433000,13.760962
2009-01-07,16.0,16.01,15.39,15.58,13510100,13.033178
2009-01-08,15.52,15.6,14.91,15.28,11072500,12.782218
2009-01-09,15.27,15.39,14.63,14.96,14448900,12.514528
2009-01-12,14.82,15.09,14.56,14.73,13139200,12.322125
2009-01-13,14.57,15.19,14.52,14.84,13456700,12.414144
2009-01-14,14.65,14.68,13.96,14.1,15888500,11.79511
2009-01-15,14.03,14.71,13.9,14.54,17708800,12.163184
2009-01-16,14.8,15.06,14.33,15.02,21501200,12.56472
2009-01-20,14.88,15.09,14.34,14.41,25107600,12.054435
2009-01-21,14.57,14.72,13.92,14.56,14159300,12.179915
2009-01-22,14.08,14.6,13.92,14.36,16011200,12.012608
2009-01-23,14.15,15.32,13.92,14.99,18915200,12.539623
2009-01-26,14.76,15.41,14.45,14.77,20003300,12.355587
2009-01-27,15.7,15.88,15.14,15.31,27095100,12.807314
2009-01-28,15.46,15.73,15.16,15.56,15213200,13.110646
2009-01-29,15.51,15.51,14.81,14.95,12144800,12.596667
2009-01-30,15.21,15.25,14.51,14.95,22446700,12.596667
2009-02-02,14.82,15.9,14.66,15.69,25470700,13.220181
2009-02-03,15.85,16.25,15.46,16.02,19034200,13.498235
2009-02-04,15.92,17.120001,15.92,16.450001,25157200,13.860548
2009-02-05,16.200001,17.129999,16.110001,16.84,24018600,14.189156
2009-02-06,16.84,17.540001,16.73,17.379999,19352100,14.644152
2009-02-09,17.35,17.51,17.040001,17.299999,18485500,14.576745
2009-02-10,17.1,17.49,16.370001,16.52,21405200,13.919529
2009-02-11,16.559999,16.790001,15.87,16.23,19878400,13.675178
2009-02-12,15.96,16.559999,15.74,16.389999,23169700,13.809992
2009-02-13,16.5,17.32,16.49,16.950001,28325400,14.281841
2009-02-17,16.4,16.5,15.72,15.77,22021200,13.287589
2009-02-18,15.9,16.15,15.47,15.85,16093900,13.354996
2009-02-19,15.95,15.99,14.8,14.96,22447500,12.605093
2009-02-20,14.72,15.34,14.5,15.04,23155500,12.6725
2009-02-23,15.21,15.28,14.6,14.69,17635500,12.377595
2009-02-24,14.76,15.44,14.74,15.29,17631900,12.883147
2009-02-25,15.19,15.72,14.86,15.36,19345600,12.942128
2009-02-26,15.47,15.9,14.53,14.64,26612300,12.335466
2009-02-27,14.49,14.74,14.17,14.35,18487200,12.091116
2009-03-02,14.1,14.54,13.7,13.77,17135600,11.602416
2009-03-03,13.91,14.58,13.75,14.2,27213900,11.964728
2009-03-04,14.4,15.12,14.3,14.85,25781000,12.512409
2009-03-05,14.54,15.32,14.41,14.9,24419200,12.554538
2009-03-06,15.04,15.32,14.16,14.71,25806900,12.394447
2009-03-09,14.56,15.18,14.54,14.69,19836600,12.377595
2009-03-10,15.0,15.79,14.82,15.66,25254300,13.194904
2009-03-11,15.73,15.9,15.36,15.71,18154900,13.237033
2009-03-12,15.68,15.98,15.34,15.94,16567300,13.430828
2009-03-13,16.02,16.299999,15.82,16.209999,17751600,13.658326
2009-03-16,16.299999,16.48,15.64,15.71,13918600,13.237033
2009-03-17,15.76,16.459999,15.57,16.450001,16366900,13.860548
2009-03-18,16.379999,17.1,16.280001,16.879999,20669000,14.222859
2009-03-19,17.01,17.17,16.42,16.6,13561200,13.986936
2009-03-20,16.6,16.67,15.64,15.78,21513200,13.296014
2009-03-23,16.299999,17.01,15.9,17.01,18965800,14.332396
2009-03-24,16.889999,17.09,16.5,16.65,12410100,14.029064
2009-03-25,16.73,17.15,16.120001,16.43,14638800,13.843696
2009-03-26,16.67,17.41,16.51,17.360001,18412900,14.627301
2009-03-27,17.18,17.629999,16.99,17.120001,13932000,14.425081
2009-03-30,16.75,16.92,16.27,16.42,9464600,13.83527
2009-03-31,16.639999,16.809999,16.360001,16.51,13422900,13.911103
2009-04-01,16.23,16.540001,16.0,16.25,25568200,13.69203
2009-04-02,16.110001,16.889999,16.059999,16.469999,27660800,13.877398
2009-04-03,16.52,16.98,16.25,16.959999,21634200,14.290266
2009-04-06,16.77,16.780001,16.23,16.51,19203300,13.911103
2009-04-07,16.309999,16.780001,16.1,16.360001,12218100,13.784715
2009-04-08,16.690001,16.99,16.25,16.790001,18854700,14.147027
2009-04-09,17.1,17.379999,16.950001,17.24,16652300,14.52619
2009-04-13,17.139999,17.280001,16.75,17.17,11580800,14.46721
2009-04-14,16.969999,17.6,16.940001,17.33,17589000,14.602023
2009-04-15,16.77,17.190001,16.57,17.01,16308700,14.332396
2009-04-16,17.4,17.870001,17.25,17.799999,20099800,14.998038
2009-04-17,17.799999,18.120001,17.459999,17.969999,18948200,15.141278
2009-04-20,17.74,17.790001,17.08,17.32,26619100,14.593597
2009-04-21,17.65,17.85,16.610001,17.110001,44089800,14.416655
2009-04-22,16.93,18.27,16.73,17.65,30991300,14.871651
2009-04-23,17.790001,17.790001,16.799999,17.34,20384200,14.610449
2009-04-24,17.49,18.0,17.190001,17.879999,16676400,15.065445
2009-04-27,17.629999,18.02,17.209999,17.469999,19288000,14.719985
2009-04-28,17.16,17.450001,16.959999,17.0,12316600,14.414732
2009-04-29,17.15,17.68,17.01,17.379999,11803800,14.736943
2009-04-30,17.559999,18.57,17.5,18.059999,18908600,15.313533
2009-05-01,18.08,18.120001,17.549999,17.950001,16325400,15.220262
2009-05-04,18.059999,18.66,17.969999,18.360001,16309000,15.567911
2009-05-05,18.33,18.33,17.74,17.860001,17431400,15.143949
2009-05-06,17.950001,18.629999,17.65,18.309999,23624200,15.525514
2009-05-07,18.59,18.59,17.299999,17.58,21294200,14.906529
2009-05-08,17.65,17.780001,16.83,17.299999,19658400,14.669109
2009-05-11,17.18,17.52,16.83,17.26,15177300,14.635193
2009-05-12,16.77,17.389999,16.57,16.83,15468700,14.270585
2009-05-13,16.75,17.23,16.73,17.07,18937000,14.474087
2009-05-14,17.15,17.639999,17.049999,17.540001,19577100,14.872613
2009-05-15,17.530001,17.799999,17.299999,17.629999,20495700,14.948925
2009-05-18,17.780001,17.93,17.52,17.9,12261400,15.177865
2009-05-19,17.790001,18.309999,17.620001,18.08,14973700,15.330492
2009-05-20,18.540001,18.9,18.32,18.4,21075000,15.601827
2009-05-21,18.200001,18.34,17.530001,17.959999,14786400,15.22874
2009-05-22,18.0,18.76,17.959999,18.5,17773200,15.68662
2009-05-26,18.35,19.0,18.219999,19.0,19727200,16.110583
2009-05-27,18.299999,19.5,18.299999,18.98,17422300,16.093624
2009-05-28,19.040001,19.299999,18.59,19.27,13523900,16.339523
2009-05-29,19.299999,19.48,18.870001,19.4,17612700,16.449753
2009-06-01,19.51,20.549999,19.5,20.360001,21789900,17.263762
2009-06-02,20.16,20.51,19.870001,20.09,16115500,17.034822
2009-06-03,19.65,20.07,19.57,20.049999,15783800,17.000904
2009-06-04,20.110001,20.4,19.75,20.08,16149900,17.026342
2009-06-05,20.209999,20.43,19.549999,19.68,21577100,16.687173
2009-06-08,19.719999,19.99,19.43,19.77,14095400,16.763486
2009-06-09,21.16,21.27,20.58,21.02,45900900,17.823393
2009-06-10,21.129999,21.200001,20.5,20.959999,21526300,17.772516
2009-06-11,20.91,21.299999,20.700001,20.84,17724100,17.670766
2009-06-12,20.77,20.809999,20.200001,20.790001,15721600,17.62837
2009-06-15,20.700001,21.23,20.549999,21.129999,22468900,17.916664
2009-06-16,21.27,21.27,20.67,20.73,18978400,17.577494
2009-06-17,21.139999,21.719999,20.83,21.41,31802600,18.154083
2009-06-18,21.4,21.52,21.08,21.33,20650400,18.086249
2009-06-19,21.549999,21.74,21.17,21.66,19844500,18.366065
2009-06-22,21.43,21.85,20.85,20.969999,17365100,17.780996
2009-06-23,20.799999,21.049999,20.51,20.610001,32446400,17.475744
2009-06-24,20.77,21.290001,20.700001,20.98,19656700,17.789475
2009-06-25,20.959999,21.440001,20.889999,21.35,15680700,18.103208
2009-06-26,21.15,21.76,21.139999,21.450001,14728500,18.188001
2009-06-29,21.370001,21.65,21.209999,21.299999,17545000,18.060811
2009-06-30,21.33,21.73,20.200001,21.299999,16175700,18.060811
2009-07-01,21.370001,21.9,21.370001,21.6,13218800,18.315189
2009-07-02,21.33,21.52,21.219999,21.299999,11393200,18.060811
2009-07-06,21.24,21.559999,20.99,21.4,12281700,18.145604
2009-07-07,21.290001,21.73,20.66,20.77,14751600,17.611411
2009-07-08,20.76,20.83,20.110001,20.42,20795600,17.314637
2009-07-09,20.49,20.860001,20.389999,20.440001,18404900,17.331596
2009-07-10,20.389999,20.799999,20.34,20.450001,13790300,17.340076
2009-07-13,20.57,20.9,20.18,20.85,15331300,17.679245
2009-07-14,20.959999,21.17,20.77,21.1,12566500,17.891227
2009-07-15,21.620001,21.940001,21.51,21.889999,15115000,18.561087
2009-07-16,21.65,22.450001,21.65,22.34,20689600,18.942654
2009-07-17,22.43,23.059999,22.1,23.01,22853500,19.510764
2009-07-20,23.190001,23.629999,22.969999,23.610001,35335500,20.01952
2009-07-21,23.16,23.280001,22.51,23.07,32683200,19.561639
2009-07-22,23.09,23.5,22.879999,23.309999,15158700,19.765141
2009-07-23,23.299999,23.93,22.99,23.82,18386800,20.197583
2009-07-24,23.530001,24.129999,23.379999,24.09,15080100,20.426524
2009-07-27,24.08,24.17,23.67,24.01,15887400,20.35869
2009-07-28,23.870001,24.24,23.66,24.190001,16723000,20.511316
2009-07-29,23.950001,24.23,23.620001,24.139999,24475400,20.562423
2009-07-30,24.379999,24.82,24.1,24.15,21394700,20.570941
2009-07-31,24.120001,24.459999,23.940001,24.049999,14897300,20.485761
2009-08-03,24.32,24.389999,23.99,24.370001,14225400,20.758338
2009-08-04,24.18,24.74,24.139999,24.6,13172800,20.954252
