Date,Open,High,Low,Close,Volume,Adj Close
2010-02-02,71.050003,71.110001,71.010002,71.089996,5800,33.471866
2010-02-03,70.5,70.739998,70.419998,70.419998,5000,33.156406
2010-02-04,71.080002,71.519997,71.080002,71.519997,13800,33.674327
2010-02-05,71.519997,72.220001,71.410004,71.989998,13600,33.895621
2010-02-08,71.830002,71.860001,71.559998,71.849998,15800,33.829704
2010-02-09,71.610001,71.800003,71.129997,71.199997,37400,33.523659
2010-02-10,71.32,71.349998,70.629997,70.779999,5600,33.325907
2010-02-11,70.720001,70.720001,70.32,70.5,3200,33.194073
2010-02-12,71.059998,71.059998,71.059998,71.059998,1800,33.457742
2010-02-16,71.25,71.25,71.239998,71.239998,400,33.542492
2010-02-17,71.0,71.0,70.419998,70.419998,22000,33.156406
2010-02-18,70.260002,70.300003,69.800003,69.800003,4800,32.864488
2010-02-19,69.800003,69.800003,69.800003,69.800003,0,32.864488
2010-02-22,69.800003,69.800003,69.800003,69.800003,0,32.864488
2010-02-23,70.080002,71.010002,70.080002,71.010002,69200,33.434202
2010-02-24,70.900002,71.239998,70.900002,71.0,5600,33.429492
2010-02-25,71.660004,71.660004,71.330002,71.559998,69400,33.69316
2010-02-26,71.809998,72.07,71.809998,71.910004,2600,33.857957
2010-03-01,71.800003,72.040001,71.730003,71.879997,174600,33.843828
2010-03-02,71.660004,71.959999,71.620003,71.959999,26400,33.881496
2010-03-03,71.760002,71.889999,71.620003,71.889999,2600,33.848538
2010-03-04,71.709999,72.0,71.709999,72.0,1200,33.90033
2010-03-05,71.400002,71.400002,71.220001,71.349998,3200,33.594285
2010-03-08,71.099998,71.099998,71.099998,71.099998,7000,33.476575
2010-03-09,71.169998,71.32,71.120003,71.32,4200,33.58016
2010-03-10,71.010002,71.010002,70.889999,70.970001,7600,33.415368
2010-03-11,70.919998,70.919998,70.919998,70.919998,400,33.391824
2010-03-12,71.129997,71.300003,71.129997,71.269997,2200,33.556617
2010-03-15,71.150002,71.300003,71.099998,71.300003,1800,33.570745
2010-03-16,71.650002,71.900002,71.540001,71.849998,11600,33.829704
2010-03-17,72.019997,72.019997,72.019997,72.019997,200,33.909745
2010-03-18,72.019997,72.019997,72.019997,72.019997,0,33.909745
2010-03-19,71.580002,71.790001,71.480003,71.580002,17200,33.702579
2010-03-22,71.940002,71.940002,71.769997,71.769997,24000,33.792036
2010-03-23,71.68,71.68,71.68,71.68,200,33.749662
2010-03-24,70.900002,70.900002,70.0,70.18,18400,33.043405
2010-03-25,70.040001,70.040001,69.690002,69.709999,1800,32.822111
2010-03-26,69.580002,70.010002,69.580002,70.010002,40400,32.963364
2010-03-29,69.779999,69.889999,69.769997,69.860001,2800,32.892737
2010-03-30,69.860001,69.860001,69.860001,69.860001,0,32.892737
2010-03-31,70.300003,70.300003,70.169998,70.300003,1400,33.099907
2010-04-01,70.0,70.0,70.0,70.0,200,32.958654
2010-04-05,68.980003,68.980003,68.540001,68.730003,17600,32.360692
2010-04-06,69.260002,69.260002,69.089996,69.099998,13800,32.5349
