Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,42.119999,47.5,42.080002,47.419998,1361400,31.96703
2009-01-05,46.029999,52.779999,46.029999,52.299999,3101200,35.256763
2009-01-06,52.240002,55.41,50.689999,55.279999,3161300,37.265656
2009-01-07,53.049999,53.25,46.740002,47.23,3278200,31.838947
2009-01-08,47.32,47.490002,45.060001,46.450001,1616800,31.31313
2009-01-09,46.139999,47.080002,43.810001,44.040001,1227700,29.688487
2009-01-12,43.689999,43.779999,40.369999,41.0,1825300,27.639145
2009-01-13,40.82,41.709999,38.34,39.23,2338000,26.445943
2009-01-14,38.799999,38.799999,35.889999,36.279999,2548100,24.457272
2009-01-15,36.259998,38.400002,33.52,36.130001,3868800,24.356155
2009-01-16,37.009998,37.959999,34.91,36.939999,2621600,24.902195
2009-01-20,36.830002,36.98,32.959999,32.970001,2508700,22.225918
2009-01-21,33.709999,35.18,33.029999,35.0,1860800,23.594392
2009-01-22,34.0,35.950001,32.549999,34.360001,2023000,23.162952
2009-01-23,33.32,36.02,32.57,34.259998,2011100,23.095538
2009-01-26,34.400002,37.099998,33.970001,35.32,2314500,23.810112
2009-01-27,35.759998,36.849998,33.619999,33.849998,1856300,22.819147
2009-01-28,35.09,37.0,34.939999,35.740002,2434500,24.093246
2009-01-29,35.279999,35.619999,32.610001,32.82,2007800,22.124798
2009-01-30,32.599998,32.700001,29.549999,30.08,3805500,20.277695
2009-02-02,29.549999,30.4,28.6,29.73,2794700,20.041751
2009-02-03,29.879999,30.51,26.799999,28.82,3798400,19.428296
2009-02-04,27.66,27.85,25.139999,26.23,7374300,17.682311
2009-02-05,26.0,29.200001,25.5,28.200001,4538000,19.010339
2009-02-06,28.309999,30.5,28.01,29.76,2586400,20.061975
2009-02-09,30.0,31.5,29.200001,30.85,1754200,20.796772
2009-02-10,30.02,30.85,27.379999,27.58,2020800,18.592381
2009-02-11,28.49,28.530001,25.25,26.41,2255500,17.803654
2009-02-12,26.15,26.879999,25.43,26.709999,2883900,18.005891
2009-02-13,27.09,27.09,25.629999,26.040001,1190800,17.554228
2009-02-17,25.6,25.6,23.629999,24.1,2237300,16.246425
2009-02-18,24.299999,24.440001,22.549999,23.26,2579600,15.680159
2009-02-19,23.5,24.65,22.549999,23.0,1845500,15.504886
2009-02-20,23.799999,25.25,23.280001,24.950001,3511400,16.819432
2009-02-23,25.049999,25.620001,23.02,23.280001,2232400,15.693642
2009-02-24,23.469999,26.0,22.57,25.799999,3550500,17.392437
2009-02-25,21.959999,23.43,21.059999,21.75,7736200,14.662229
2009-02-26,22.559999,23.68,21.65,22.280001,3452300,15.019516
2009-02-27,21.59,21.93,20.719999,20.950001,3616200,14.12293
2009-03-02,20.5,20.5,17.65,17.65,4915400,11.898315
2009-03-03,17.950001,18.290001,16.93,17.280001,3758000,11.648889
2009-03-04,17.629999,17.67,15.61,17.200001,4331900,11.594959
2009-03-05,16.75,17.34,16.1,16.290001,2857900,10.981505
2009-03-06,16.379999,16.75,14.5,15.4,2766300,10.381532
2009-03-09,15.09,16.85,14.8,15.55,2471700,10.482652
2009-03-10,16.51,20.129999,16.459999,19.5,5350500,13.145447
2009-03-11,19.99,20.950001,18.209999,19.02,3576700,12.821867
2009-03-12,19.469999,20.6,18.41,20.52,2573200,13.833055
2009-03-13,21.16,22.5,20.01,20.799999,2579600,14.02181
2009-03-16,21.540001,21.85,19.549999,19.65,1507400,13.246566
2009-03-17,18.950001,20.950001,18.709999,20.719999,6386900,13.96788
2009-03-18,20.6,21.41,19.35,21.17,3566500,14.271237
2009-03-19,21.299999,21.950001,19.950001,20.780001,2872800,14.008328
2009-03-20,21.35,21.4,19.959999,20.530001,2731800,13.839797
2009-03-23,21.459999,23.6,20.639999,23.43,4108000,15.79476
2009-03-24,22.860001,23.870001,22.209999,22.6,2185200,15.235236
2009-03-25,22.59,23.75,20.0,22.360001,3155600,15.073446
2009-03-26,22.719999,23.09,21.4,22.700001,2390900,15.302649
2009-03-27,21.98,22.780001,21.32,21.370001,2107600,14.406062
2009-03-30,20.370001,20.780001,19.0,19.190001,2177600,12.936469
2009-03-31,19.68,20.200001,19.0,19.969999,2588100,13.462286
2009-04-01,20.0,21.639999,19.52,21.549999,2913500,14.527404
2009-04-02,23.24,26.870001,23.24,26.85,6971800,18.10027
2009-04-03,26.51,29.940001,26.24,29.65,5659900,19.987821
2009-04-06,30.950001,33.0,30.709999,31.200001,8179300,21.032716
2009-04-07,30.309999,30.51,26.58,26.709999,5167400,18.005891
2009-04-08,27.5,27.68,25.83,27.68,4355800,18.659794
2009-04-09,29.110001,32.0,28.91,30.27,4922300,20.405779
2009-04-13,29.450001,31.49,28.5,31.440001,3093000,21.194506
2009-04-14,30.549999,35.599998,30.51,32.389999,5307600,21.834924
2009-04-15,31.549999,33.130001,31.540001,32.939999,2891100,22.205693
2009-04-16,33.029999,34.25,32.5,33.470001,3119500,22.562981
2009-04-17,33.330002,33.439999,32.16,32.759998,3744700,22.08435
2009-04-20,31.780001,32.75,29.83,30.440001,2341900,20.52038
2009-04-21,29.91,31.85,29.0,31.59,3284000,21.295624
2009-04-22,31.219999,35.66,31.120001,34.560001,5278200,23.297778
2009-04-23,34.5,38.0,34.110001,36.43,5213700,24.558392
2009-04-24,37.459999,40.16,36.939999,39.529999,5004500,26.64818
2009-04-27,37.490002,40.0,36.759998,37.48,4320800,25.266223
2009-04-28,36.25,37.84,35.77,36.23,3457600,24.423566
2009-04-29,37.93,39.5,36.549999,38.16,3388500,25.724629
2009-04-30,40.740002,44.18,38.93,39.23,6188600,26.445943
2009-05-01,39.029999,41.02,38.220001,39.16,2668500,26.398754
2009-05-04,40.5,43.830002,40.029999,42.810001,3576600,28.859313
2009-05-05,46.380001,50.77,44.849998,49.98,9437000,33.692792
2009-05-06,49.209999,49.48,44.549999,47.119999,7667500,31.764792
2009-05-07,48.0,48.349998,43.299999,44.209999,3863700,29.803087
2009-05-08,45.060001,48.200001,44.639999,47.459999,2804500,31.993995
2009-05-11,46.02,49.75,45.27,48.959999,3112000,33.005183
2009-05-12,49.450001,49.709999,44.099998,45.18,4481500,30.45699
2009-05-13,44.0,44.639999,39.360001,39.779999,5256400,26.816711
2009-05-14,39.830002,41.060001,37.049999,39.439999,6139900,26.587509
2009-05-15,40.0,41.869999,37.59,37.900002,3811200,25.549357
2009-05-18,38.889999,41.689999,38.779999,41.400002,3593000,27.908796
2009-05-19,41.830002,42.360001,39.68,40.049999,3264800,26.998725
2009-05-20,40.43,41.869999,38.93,39.18,2846300,26.412237
2009-05-21,38.5,39.189999,36.669998,37.110001,3183700,25.016797
2009-05-22,37.16,37.529999,35.25,35.849998,2988000,24.167398
2009-05-26,35.25,38.849998,35.150002,38.099998,2912800,25.68418
2009-05-27,38.0,38.720001,36.27,36.389999,3141000,24.531426
2009-05-28,37.0,37.650002,35.240002,36.349998,2360100,24.504461
2009-05-29,36.59,37.490002,36.049999,37.060001,2801700,24.983092
2009-06-01,38.259998,40.880001,38.060001,40.709999,4991600,27.443648
2009-06-02,40.700001,41.139999,39.299999,40.599998,2933000,27.369494
2009-06-03,41.02,41.220001,38.75,39.509998,3632600,26.634697
2009-06-04,39.52,40.98,38.59,40.599998,2762000,27.369494
2009-06-05,41.48,42.200001,39.619999,40.599998,2477500,27.369494
2009-06-08,39.849998,39.849998,37.560001,38.93,3253600,26.243706
2009-06-09,39.25,39.5,37.700001,38.310001,2485700,25.825749
2009-06-10,38.610001,38.98,36.25,37.349998,4311200,25.178586
2009-06-11,37.5,37.599998,36.470001,36.970001,3079800,24.92242
2009-06-12,36.740002,37.560001,35.799999,37.41,3178800,25.219035
2009-06-15,36.939999,36.939999,34.200001,34.990002,5467900,23.587652
2009-06-16,35.209999,37.439999,35.09,36.080002,4759200,24.322449
2009-06-17,36.380001,37.07,34.049999,36.0,4320700,24.268518
2009-06-18,37.139999,37.580002,35.009998,35.599998,2650900,23.998867
2009-06-19,36.43,37.099998,35.900002,36.860001,3568100,24.848266
2009-06-22,36.200001,36.5,34.27,34.279999,2943300,23.109021
2009-06-23,34.369999,35.110001,32.709999,33.990002,3780800,22.913527
2009-06-24,34.32,36.880001,34.25,35.990002,3295100,24.261778
2009-06-25,35.720001,37.259998,35.119999,37.16,2493200,25.050503
2009-06-26,37.029999,37.279999,35.959999,36.720001,2775700,24.753889
2009-06-29,36.799999,37.5,35.849998,36.93,2160600,24.895455
2009-06-30,35.720001,36.93,35.119999,35.299999,2649200,23.796629
2009-07-01,35.400002,36.23,35.25,35.389999,2001800,23.857301
2009-07-02,34.93,34.939999,33.200001,33.41,2330500,22.522533
2009-07-06,32.68,33.279999,31.82,32.689999,2841500,22.037161
2009-07-07,32.52,32.68,30.629999,30.75,3494500,20.729359
2009-07-08,31.49,31.49,29.049999,29.91,4489400,20.163093
2009-07-09,30.120001,33.400002,30.120001,31.93,5776200,21.524827
2009-07-10,31.57,31.58,30.42,30.98,2774000,20.884407
2009-07-13,31.309999,32.5,30.219999,32.310001,2886300,21.780996
2009-07-14,32.07,34.049999,31.68,33.799999,3214700,22.785441
2009-07-15,34.48,36.549999,34.439999,36.189999,4645700,24.396601
2009-07-16,35.689999,37.98,35.02,37.52,3553700,25.293189
2009-07-17,37.290001,37.290001,35.830002,36.169998,3024700,24.383118
2009-07-20,36.529999,40.490002,36.529999,39.830002,3940700,26.85042
2009-07-21,41.919998,41.93,38.77,39.77,4322200,26.809971
2009-07-22,40.799999,43.349998,40.5,42.259998,6271600,28.488542
2009-07-23,42.619999,45.880001,41.360001,44.669998,6807500,30.113185
2009-07-24,43.75,48.110001,43.549999,47.290001,4863800,31.879395
2009-07-27,48.150002,49.66,47.110001,47.75,4649400,32.189492
2009-07-28,46.610001,47.369999,45.439999,46.59,3254500,31.407507
2009-07-29,45.869999,46.130001,43.68,44.310001,4260400,29.870502
2009-07-30,47.599998,51.48,47.259998,50.150002,9953300,33.807394
2009-07-31,49.41,51.669998,48.349998,51.169998,5371000,34.495
2009-08-03,52.560001,54.5,52.23,53.43,4481200,36.018525
2009-08-04,54.32,58.650002,54.32,58.0,7139800,39.099279
2009-08-05,59.189999,59.860001,56.099998,56.57,5221500,38.135279
2009-08-06,57.18,58.700001,55.52,55.59,4769500,37.474636
2009-08-07,57.349998,59.34,56.139999,58.470001,4349300,39.416118
2009-08-10,58.25,59.700001,56.209999,56.400002,3699400,38.020679
