Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,3.78,4.03,3.59,3.89,10196100,3.255338
2009-01-05,3.81,4.06,3.7,3.75,9816200,3.138179
2009-01-06,3.75,4.14,3.65,4.08,10631300,3.414339
2009-01-07,4.08,4.6,3.95,4.2,11499100,3.51476
2009-01-08,4.16,4.33,4.05,4.33,6638800,3.623551
2009-01-09,4.44,4.69,4.21,4.3,6942100,3.598445
2009-01-12,4.3,4.39,3.6,3.71,8157900,3.104705
2009-01-13,3.76,3.98,3.5,3.76,9271500,3.146547
2009-01-14,3.6,3.66,3.39,3.45,6593000,2.887125
2009-01-15,3.45,3.51,2.97,3.12,10775300,2.610965
2009-01-16,3.3,3.4,2.97,3.18,7497100,2.661176
2009-01-20,3.18,3.36,2.85,2.88,10767400,2.410122
2009-01-21,3.29,3.29,2.86,3.24,9650800,2.711387
2009-01-22,3.17,3.17,2.93,3.01,5874900,2.518912
2009-01-23,2.96,3.47,2.85,3.32,9678000,2.778334
2009-01-26,3.28,3.5,3.05,3.29,5711300,2.753229
2009-01-27,3.38,3.42,3.2,3.29,4583600,2.753229
2009-01-28,3.5,3.82,3.35,3.78,9838800,3.163284
2009-01-29,3.64,3.64,3.16,3.18,7926000,2.661176
2009-01-30,3.26,3.29,2.87,2.9,10501700,2.426858
2009-02-02,2.79,2.9,2.56,2.75,9829000,2.301331
2009-02-03,2.81,2.85,2.65,2.68,6457600,2.242752
2009-02-04,2.8,2.83,2.65,2.67,6672700,2.234383
2009-02-05,2.63,3.02,2.6,2.9,9417300,2.426858
2009-02-06,2.96,3.06,2.84,3.03,7906700,2.535649
2009-02-09,3.1,3.5,3.09,3.39,9594200,2.836914
2009-02-10,3.39,3.42,2.85,2.9,13351700,2.426858
2009-02-11,3.4,4.85,3.3,4.68,34253300,3.916447
2009-02-12,4.47,4.68,3.93,4.35,28544500,3.640288
2009-02-13,4.08,4.43,4.01,4.31,10945300,3.606814
2009-02-17,3.99,4.08,3.51,3.51,11164300,2.937335
2009-02-18,3.72,3.89,3.34,3.73,11718400,3.121442
2009-02-19,3.85,3.9,3.5,3.51,10336800,2.937335
2009-02-20,3.24,3.61,3.05,3.38,13799900,2.828545
2009-02-23,3.52,3.66,3.09,3.18,10693100,2.661176
2009-02-24,3.16,3.83,3.14,3.8,11522400,3.180021
2009-02-25,3.76,3.81,3.28,3.54,11304600,2.962441
2009-02-26,3.77,3.77,3.3,3.36,9854600,2.811808
2009-02-27,3.19,3.58,3.06,3.31,17309000,2.769966
2009-03-02,3.15,3.28,3.05,3.24,8703500,2.711387
2009-03-03,3.27,3.39,3.05,3.12,12942700,2.610965
2009-03-04,3.21,3.45,3.15,3.28,7386000,2.744861
2009-03-05,3.32,3.32,2.83,2.89,9424900,2.41849
