Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,25.4,25.52,24.18,25.0,1956500,24.141116
2009-01-05,24.98,25.030001,24.1,24.33,1792800,23.494134
2009-01-06,25.0,25.469999,24.26,25.15,2187500,24.285963
2009-01-07,24.559999,24.559999,22.49,22.58,2796800,21.804256
2009-01-08,22.58,23.27,21.92,22.200001,2087200,21.437312
2009-01-09,22.389999,22.42,21.76,21.780001,1927500,21.031741
2009-01-12,21.76,22.049999,20.360001,20.82,3337400,20.104721
2009-01-13,20.65,22.049999,20.299999,21.91,2717200,21.157274
2009-01-14,21.139999,21.6,20.41,20.99,3117000,20.268881
2009-01-15,20.57,20.85,17.790001,18.24,6968500,17.613358
2009-01-16,18.459999,19.0,16.200001,16.49,6888800,15.92348
2009-01-20,16.379999,16.639999,13.19,13.33,7197900,12.872043
2009-01-21,13.96,15.67,13.78,15.06,7166100,14.542609
2009-01-22,14.66,15.05,13.53,13.87,5024500,13.393491
2009-01-23,13.39,13.76,13.0,13.56,5395800,13.094142
2009-01-26,13.66,13.78,11.81,12.19,5655400,11.771208
2009-01-27,12.96,15.41,12.63,14.08,9564300,13.596277
2009-01-28,15.68,18.299999,15.56,17.959999,9989500,17.342977
2009-01-29,17.4,17.42,16.18,16.43,4283700,15.865542
2009-01-30,16.950001,17.049999,14.69,14.92,3979100,14.407418
2009-02-02,14.39,14.77,13.96,14.46,3279600,13.963222
2009-02-03,14.7,14.76,12.98,13.11,6282200,12.659601
2009-02-04,13.04,14.01,12.75,12.84,4867800,12.398878
2009-02-05,12.85,13.97,11.84,12.96,8592700,12.514755
2009-02-06,13.1,15.12,13.1,14.34,7128000,13.847345
2009-02-09,14.93,15.41,13.85,14.84,7353100,14.370251
2009-02-10,14.59,14.84,11.89,11.95,10030000,11.571732
2009-02-11,12.65,13.09,12.11,12.61,4821600,12.21084
2009-02-12,12.19,12.32,10.99,11.68,7583100,11.310279
2009-02-13,11.63,11.9,11.02,11.42,6647800,11.058509
2009-02-17,10.82,11.07,10.0,10.01,6072800,9.693141
2009-02-18,10.62,10.62,9.34,10.11,6001800,9.789975
2009-02-19,10.27,10.64,9.29,9.3,3637200,9.005616
2009-02-20,8.66,9.17,8.05,9.0,6894100,8.715112
2009-02-23,9.14,9.36,8.37,8.67,5064100,8.395558
2009-02-24,8.55,10.55,8.22,10.16,9784400,9.838393
2009-02-25,10.05,10.49,8.53,9.62,9408100,9.315486
2009-02-26,10.79,12.34,10.31,10.91,9479200,10.564652
2009-02-27,9.82,10.62,9.33,9.37,6598500,9.0734
2009-03-02,9.1,9.4,8.88,8.92,5502400,8.637644
2009-03-03,9.28,9.43,7.97,8.31,5415400,8.046954
2009-03-04,8.5,9.19,7.49,7.98,5607200,7.727399
2009-03-05,7.77,7.85,6.6,6.77,4390800,6.555701
2009-03-06,6.97,7.45,5.9,6.48,5755300,6.274881
2009-03-09,6.38,7.41,6.28,6.84,4491400,6.623485
2009-03-10,7.83,7.86,7.11,7.65,6038300,7.407845
2009-03-11,7.84,8.79,7.52,8.47,8033000,8.201889
2009-03-12,8.17,9.23,7.8,9.18,8086300,8.889414
2009-03-13,9.85,9.95,8.8,9.42,5320800,9.121817
2009-03-16,9.72,11.3,9.62,9.98,6787700,9.66409
2009-03-17,10.34,10.85,10.0,10.85,4399100,10.506552
2009-03-18,10.31,11.96,10.27,11.73,6542400,11.358695
2009-03-19,12.08,12.26,10.41,10.47,5204500,10.13858
2009-03-20,10.55,10.6,9.67,9.92,4089200,9.60599
2009-03-23,11.16,11.67,10.56,11.66,4455300,11.290911
2009-03-24,11.19,11.74,10.43,10.45,4818300,10.119213
2009-03-25,10.6,11.2,9.76,10.52,4827100,10.186998
2009-03-26,10.8,10.91,10.4,10.88,4913200,10.535602
2009-03-27,10.57,11.07,10.37,10.46,3048300,10.128897
2009-03-30,10.08,10.19,9.32,9.38,2964300,9.083083
2009-03-31,9.43,10.07,9.12,9.83,4711100,9.518839
2009-04-01,9.58,10.49,9.51,10.38,3687200,10.051429
2009-04-02,11.07,11.5,10.64,11.17,6141900,10.816422
2009-04-03,11.15,11.27,10.49,11.25,3554300,10.89389
2009-04-06,10.97,11.05,10.5,10.99,4322100,10.64212
2009-04-07,10.55,10.84,10.26,10.26,2475100,9.935228
2009-04-08,10.31,10.46,9.45,9.78,3191600,9.470421
2009-04-09,10.92,12.36,10.43,12.36,6969900,11.968753
2009-04-13,11.87,13.5,11.5,13.44,7223300,13.014567
