Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,10.31,10.76,10.26,10.75,16237600,10.39902
2009-01-05,10.82,10.9,10.53,10.61,18926700,10.26359
2009-01-06,10.83,11.34,10.65,11.05,37140800,10.68922
2009-01-07,10.83,11.43,10.81,11.15,29947300,10.78596
2009-01-08,11.01,11.28,10.84,11.27,23311100,10.90204
2009-01-09,11.23,11.38,10.59,11.12,36461000,10.75694
2009-01-12,10.91,11.02,10.43,10.65,25644600,10.30228
2009-01-13,10.54,10.91,10.5,10.76,21553100,10.40869
2009-01-14,10.56,10.67,10.25,10.31,17149400,9.97338
2009-01-15,10.33,10.82,10.14,10.54,34874600,10.19587
2009-01-16,10.79,10.79,9.83,10.27,30064700,9.93469
2009-01-20,10.24,10.45,9.8,9.85,24012600,9.5284
2009-01-21,10.0,10.32,9.7,10.2,23915900,9.86697
2009-01-22,9.76,10.11,9.52,9.98,27674400,9.65416
2009-01-23,9.67,10.46,9.58,10.14,25872000,9.80893
2009-01-26,10.11,10.53,9.96,10.31,14175300,9.97338
2009-01-27,10.3,10.36,9.99,10.07,21428000,9.74122
2009-01-28,10.35,11.0,10.18,10.88,23158300,10.52477
2009-01-29,10.61,10.67,9.89,9.95,36336800,9.62514
2009-01-30,10.12,10.15,9.45,9.5,26612100,9.18983
2009-02-02,9.38,9.41,9.1,9.31,22476100,9.00603
2009-02-03,9.3,9.81,9.16,9.77,23450000,9.45101
2009-02-04,9.83,10.12,9.62,9.79,22637100,9.47036
2009-02-05,9.27,9.56,9.1,9.43,31719400,9.12212
2009-02-06,9.45,9.75,9.28,9.46,30608200,9.15114
2009-02-09,9.43,9.73,9.21,9.64,40586900,9.32526
2009-02-10,9.59,9.77,9.12,9.16,30785900,8.86093
2009-02-11,9.29,9.33,8.78,9.02,28106100,8.7255
2009-02-12,8.89,9.21,8.73,9.17,38443600,8.8706
2009-02-13,9.19,9.35,9.06,9.12,27298300,8.82224
2009-02-17,8.71,9.08,8.7,8.88,29147900,8.59007
2009-02-18,8.95,8.96,8.575,8.65,36173400,8.36758
2009-02-19,8.53,8.58,8.06,8.12,43070700,7.85489
2009-02-20,7.99,8.44,7.84,8.41,66873700,8.13542
2009-02-23,8.57,8.59,7.95,7.99,28663000,7.72913
2009-02-24,8.06,8.36,7.94,8.26,32183700,7.99032
2009-02-25,8.28,8.47,7.93,8.36,38110100,8.08705
2009-02-26,8.54,8.56,8.18,8.21,38735400,7.94195
2009-02-27,8.26,8.75,8.15,8.53,48488600,8.2515
2009-03-02,8.53,9.03,8.43,8.43,39236600,8.15476
2009-03-03,8.7,9.2,8.43,9.15,44462000,8.85126
2009-03-04,9.17,9.2,8.715,8.88,39861400,8.59007
2009-03-05,8.7,8.94,8.39,8.39,29639400,8.11607
2009-03-06,8.44,8.6,8.13,8.37,32769200,8.09672
2009-03-09,8.35,8.67,8.0,8.04,27648100,7.7775
2009-03-10,8.25,8.76,8.2,8.76,31470700,8.47399
2009-03-11,8.8,9.13,8.77,8.98,25749100,8.68681
2009-03-12,8.94,9.47,8.8,9.44,30945500,9.13179
2009-03-13,9.52,9.76,9.15,9.37,29678600,9.06407
2009-03-16,9.49,9.55,8.84,8.9,30353300,8.60942
2009-03-17,9.07,9.36,8.93,9.34,19787400,9.03505
2009-03-18,9.29,9.84,9.22,9.62,29550100,9.30591
2009-03-19,9.83,10.13,9.63,10.04,34201900,9.7122
2009-03-20,10.12,10.44,9.73,9.88,36231000,9.55742
2009-03-23,10.2,10.45,9.94,10.45,26734200,10.10881
2009-03-24,10.3,10.83,10.26,10.41,25272800,10.07012
2009-03-25,10.5,10.86,9.88,10.17,33416400,9.83795
2009-03-26,10.35,10.44,10.01,10.35,34162800,10.01208
2009-03-27,10.13,10.2,9.85,9.95,20150700,9.62514
2009-03-30,9.79,9.79,9.2,9.49,22002300,9.18016
2009-03-31,9.56,9.78,9.38,9.48,24815700,9.17048
2009-04-01,9.33,9.66,9.22,9.52,29160800,9.20918
2009-04-02,9.67,9.9,9.38,9.5,44995300,9.18983
2009-04-03,9.65,10.38,9.53,10.32,45565400,9.98306
2009-04-06,10.19,10.33,9.91,10.33,23774300,9.99273
2009-04-07,10.1,10.12,9.73,9.83,20182900,9.50906
2009-04-08,9.91,10.34,9.89,10.2,22628400,9.86697
2009-04-09,10.46,10.96,10.38,10.76,31011900,10.40869
2009-04-13,10.65,10.695,10.34,10.45,20858300,10.10881
2009-04-14,10.46,10.9,10.29,10.47,35173400,10.12816
2009-04-15,10.31,10.53,10.03,10.2,28128000,9.86697
2009-04-16,10.3,10.97,10.05,10.88,37749700,10.52477
2009-04-17,10.9,11.1,10.54,11.06,29645700,10.6989
2009-04-20,10.8,10.85,10.29,10.31,29519900,9.97338
2009-04-21,10.25,10.73,10.22,10.55,20735000,10.20555
2009-04-22,10.42,10.9,10.35,10.63,19923900,10.28294
2009-04-23,10.6,10.74,10.34,10.72,25354000,10.37
2009-04-24,10.8,11.1,10.54,11.05,32565800,10.68922
2009-04-27,10.85,11.3,10.85,11.09,25797600,10.72792
2009-04-28,11.03,11.05,10.76,10.88,19775100,10.52477
2009-04-29,11.02,11.5,10.89,11.25,20718300,10.88269
2009-04-30,11.59,12.05,11.4,11.62,30649400,11.24061
2009-05-01,11.63,11.91,11.45,11.85,20111300,11.4631
2009-05-04,11.99,12.32,11.92,12.28,23322700,11.87906
2009-05-05,12.12,12.31,11.71,11.86,24708300,11.47278
2009-05-06,11.9,12.0,11.38,11.89,28490300,11.5018
2009-05-07,11.9,11.94,10.75,11.07,40260900,10.70857
2009-05-08,11.12,11.14,10.39,10.81,51910200,10.45706
2009-05-11,10.58,11.17,10.57,11.02,28279300,10.6602
2009-05-12,11.08,11.36,10.83,11.21,36482400,10.844
2009-05-13,11.09,11.31,10.87,10.94,30392900,10.58281
2009-05-14,10.94,11.23,10.82,10.93,27117000,10.57314
2009-05-15,10.855,11.1225,10.8,10.98,26738800,10.62151
2009-05-18,11.11,11.3,11.0,11.3,17611600,10.93106
2009-05-19,11.3,11.74,11.22,11.56,22730500,11.18257
2009-05-20,11.41,11.55,11.13,11.18,29117300,10.81498
2009-05-21,10.89,10.98,10.59,10.83,33783800,10.47641
2009-05-22,10.81,11.06,10.66,10.85,16537100,10.49575
2009-05-26,10.72,11.2,10.625,11.14,21154000,10.77628
2009-05-27,11.18,11.43,11.02,11.12,20188000,10.75694
2009-05-28,11.23,11.55,11.18,11.48,32727900,11.10518
2009-05-29,11.87,11.96,11.33,11.57,49461000,11.19224
2009-06-01,11.7,12.25,11.68,12.18,26080000,11.78233
2009-06-02,12.16,12.38,11.84,11.94,20086400,11.55016
2009-06-03,11.92,12.02,11.45,11.62,29954500,11.24061
2009-06-04,11.59,12.21,11.56,12.1,24366400,11.70494
2009-06-05,12.27,12.32,11.9215,12.08,21110500,11.68559
2009-06-08,11.88,12.4,11.76,12.28,25516400,11.87906
2009-06-09,12.42,12.79,12.4,12.6,24070100,12.18862
2009-06-10,12.79,12.97,12.49,12.94,30080700,12.51751
2009-06-11,12.94,13.32,12.9,13.27,32266400,12.83674
2009-06-12,13.22,13.4,13.05,13.39,25189800,12.95282
2009-06-15,13.42,13.49,12.75,12.87,25159500,12.4498
2009-06-16,12.94,13.17,12.73,12.77,20158400,12.35307
2009-06-17,12.71,12.88,12.47,12.76,20627300,12.34339
2009-06-18,12.78,12.85,12.58,12.61,16803200,12.19829
2009-06-19,12.76,13.44,12.71,13.29,48309600,12.85609
2009-06-22,13.18,13.49,12.93,12.98,25367000,12.55621
2009-06-23,13.0,13.12,12.74,12.98,23367600,12.55621
2009-06-24,13.19,13.35,13.06,13.28,23936600,12.84641
2009-06-25,13.13,13.75,13.07,13.65,29702900,13.20433
2009-06-26,13.62,13.88,13.41,13.68,23242800,13.23335
2009-06-29,13.8,13.96,13.72,13.86,15749500,13.40748
2009-06-30,13.88,13.93,13.62,13.73,21992100,13.28172
2009-07-01,13.76,13.81,13.35,13.39,27988400,12.95282
2009-07-02,13.12,13.23,12.9,12.97,39762600,12.54654
2009-07-06,12.96,13.47,12.94,13.42,26020800,12.98184
2009-07-07,13.38,13.57,12.94,13.0,41547700,12.57556
2009-07-08,13.05,13.14,12.76,12.95,27265200,12.52719
2009-07-09,13.12,13.22,12.95,13.15,18190400,12.72066
2009-07-10,13.34,13.5,12.93,13.22,58474200,12.78837
2009-07-13,13.19,13.22,12.65,13.02,40310800,12.5949
