Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,37.78,39.14,37.36,38.93,2368800,24.34699
2009-01-05,38.68,38.97,38.42,38.78,1521400,24.25318
2009-01-06,39.05,39.2,37.76,38.27,2759800,23.93423
2009-01-07,37.83,38.04,37.16,37.37,3177400,23.37136
2009-01-08,37.29,37.35,36.46,36.68,4173200,22.93983
2009-01-09,36.69,36.98,36.1,36.33,3380100,22.72094
2009-01-12,36.54,36.58,36.01,36.1,4041300,22.5771
2009-01-13,35.92,36.55,35.9,36.4,3306700,22.76472
2009-01-14,35.67,35.81,34.62,35.14,4476700,21.97671
2009-01-15,35.0,35.19,34.52,35.17,2768200,21.99547
2009-01-16,35.59,36.25,35.46,36.08,3002400,22.56459
2009-01-20,36.08,36.53,35.4,35.47,3047100,22.1831
2009-01-21,35.63,36.39,35.1,36.29,2658300,22.69593
2009-01-22,35.74,36.24,35.33,36.08,2403600,22.56459
2009-01-23,35.53,35.57,34.87,35.06,3087400,21.92668
2009-01-26,36.24,36.57,35.78,36.1,4068700,22.5771
2009-01-27,36.28,36.98,36.1,36.82,2893500,23.02739
2009-01-28,37.35,37.37,36.74,36.95,2468600,23.10869
2009-01-29,36.73,37.36,36.73,37.14,2864000,23.22752
2009-01-30,37.35,37.41,36.22,36.5,2964100,22.82726
2009-02-02,36.2,37.0,35.98,36.83,2461500,23.03365
2009-02-03,37.0,38.34,36.74,38.07,4265900,23.80915
2009-02-04,38.23,38.23,37.0,37.48,3952900,23.44016
2009-02-05,37.35,37.45,36.25,36.93,4361200,23.09619
2009-02-06,37.03,37.43,36.77,37.0,2606500,23.13996
2009-02-09,36.81,37.2,36.68,37.01,2657000,23.14622
2009-02-10,36.25,37.01,34.69,34.88,5995000,21.81411
2009-02-11,35.13,35.31,34.64,35.02,2919300,21.90166
2009-02-12,35.03,35.03,34.11,35.01,3381700,21.89541
2009-02-13,35.0,35.21,34.33,34.46,2968800,21.55144
2009-02-17,34.44,34.44,33.0,33.0,7019300,20.63835
2009-02-18,33.15,33.36,32.2302,32.63,7429100,20.40695
2009-02-19,33.03,33.38,32.86,32.95,3815600,20.60708
2009-02-20,32.45,32.74,32.05,32.56,5699000,20.36317
2009-02-23,32.7,33.07,31.66,31.97,4520800,19.99418
2009-02-24,32.65,34.07,32.49,33.77,6735400,21.11991
2009-02-25,33.68,34.41,33.68,33.94,5536700,21.22623
2009-02-26,34.34,34.46,32.4,32.61,4845800,20.39444
2009-02-27,32.11,33.14,32.06,32.67,4185100,20.43196
2009-03-02,32.42,32.46,31.5,32.0,4652700,20.01294
2009-03-03,32.29,32.34,31.48,31.75,3370200,19.85659
2009-03-04,32.17,32.49,31.27,31.97,3644700,19.99418
2009-03-05,31.65,31.87,30.95,31.24,4646700,19.53763
2009-03-06,31.57,31.69,30.51,31.23,3864100,19.53138
2009-03-09,30.75,31.2,30.6,30.73,2919900,19.21868
2009-03-10,31.31,32.0,30.54,31.95,4439000,19.98167
2009-03-11,32.26,32.26,31.32,31.48,3002500,19.68773
2009-03-12,31.48,32.59,31.25,32.45,3413900,20.29437
2009-03-13,32.76,32.88,32.28,32.79,2327200,20.50701
2009-03-16,32.99,34.04,32.96,33.55,2915400,20.98232
2009-03-17,33.8,34.06,33.35,34.06,2595700,21.30128
2009-03-18,33.92,33.92,32.61,33.12,5167600,20.71339
