Date,Open,High,Low,Close,Volume,Adj Close
2016-06-09,24.950001,25.040001,24.950001,25.01,898100,25.01
2016-06-10,25.02,25.02,24.9,24.92,337500,24.92
2016-06-13,24.950001,24.99,24.889999,24.969999,384000,24.969999
2016-06-14,24.98,24.98,24.9,24.92,457700,24.92
2016-06-15,24.950001,25.0,24.915001,24.99,469800,24.99
2016-06-16,24.98,25.049999,24.93,25.049999,322800,25.049999
2016-06-17,25.049999,25.09,25.01,25.059999,444000,25.059999
2016-06-20,25.1,25.1,25.040001,25.09,474600,25.09
2016-06-21,25.120001,25.139999,25.1,25.120001,324000,25.120001
2016-06-22,25.129999,25.18,25.120001,25.17,283500,25.17
2016-06-23,25.190001,25.26,25.17,25.23,295300,25.23
2016-06-24,25.049999,25.190001,24.99,25.15,686700,25.15
2016-06-27,25.15,25.17,25.0,25.15,633800,25.15
2016-06-28,25.23,25.299999,24.24,25.280001,356000,25.280001
