Date,Open,High,Low,Close,Volume,Adj Close
2014-07-21,17.5,17.5,11.9,12.5,784500,12.171744
2014-07-22,12.65,12.85,12.06,12.49,1554200,12.162006
2014-07-23,12.5,12.5,11.95,12.0,516600,11.684874
2014-07-24,12.0,12.0,11.5,11.85,594100,11.538814
2014-07-25,11.66,11.82,11.3,11.6,288900,11.295379
2014-07-28,11.67,11.96,11.35,11.7,930900,11.392752
2014-07-29,11.7,11.83,11.37,11.42,480300,11.120105
2014-07-30,11.3,11.65,11.18,11.27,383200,10.974045
2014-07-31,11.31,12.48,11.25,11.4,769300,11.10063
2014-08-01,11.55,12.0,11.26,11.78,10808700,11.470651
2014-08-04,11.21,11.78,10.82,11.0,7423800,10.711135
2014-08-05,10.8,10.97,10.08,10.1,6519600,9.834769
2014-08-06,10.05,10.3,10.01,10.09,4537700,9.825032
2014-08-07,10.11,10.25,9.59,9.8,5572200,9.542647
2014-08-08,9.67,9.84,9.5,9.54,7456900,9.289475
2014-08-11,9.77,10.05,9.36,9.82,4929200,9.562122
2014-08-12,9.55,9.66,9.36,9.51,4225000,9.260263
2014-08-13,9.49,9.52,9.22,9.28,7045200,9.036302
2014-08-14,9.15,9.48,9.11,9.43,3556500,9.182364
2014-08-15,9.35,9.49,9.26,9.46,2739000,9.211576
2014-08-18,9.36,9.56,9.32,9.5,2367900,9.250525
2014-08-19,9.42,9.56,9.23,9.3,4392700,9.055778
2014-08-20,9.21,9.62,9.21,9.51,3047800,9.260263
2014-08-21,9.55,9.63,9.39,9.45,3965400,9.201838
2014-08-22,9.45,9.56,9.25,9.3,2693300,9.055778
2014-08-25,9.43,9.45,9.12,9.29,1933300,9.04604
2014-08-26,9.24,9.34,9.15,9.19,1952700,8.948666
2014-08-27,9.28,9.28,9.1,9.24,1920300,8.997353
2014-08-28,9.24,9.3,9.1,9.19,2685800,8.948666
2014-08-29,9.32,9.35,9.21,9.32,2000400,9.075252
2014-09-02,9.38,9.45,9.2,9.32,3125400,9.075252
2014-09-03,9.32,9.42,8.71,8.77,8070700,8.539696
2014-09-04,8.78,8.91,8.57,8.62,4322300,8.393634
2014-09-05,8.64,8.73,8.02,8.24,5829400,8.023613
2014-09-08,8.32,8.32,8.15,8.22,2959500,8.004139
2014-09-09,8.22,8.23,7.32,7.35,5707200,7.156985
2014-09-10,7.38,7.42,6.86,7.2,4515700,7.010924
2014-09-11,7.18,7.57,7.11,7.4,4441100,7.205672
2014-09-12,7.31,7.42,7.15,7.16,4509900,6.971975
2014-09-15,7.18,7.39,7.08,7.15,3492300,6.962238
2014-09-16,7.05,7.22,6.9,6.97,3894700,6.786964
2014-09-17,6.92,7.09,6.92,6.94,3176300,6.757752
2014-09-18,6.97,7.06,6.61,6.73,5877000,6.553267
2014-09-19,6.74,6.95,6.1,6.22,9273000,6.05666
2014-09-22,6.28,6.5,6.13,6.23,5970000,6.066397
2014-09-23,6.31,6.66,6.27,6.33,5665300,6.163771
2014-09-24,6.41,6.74,6.26,6.66,3387700,6.485105
2014-09-25,6.61,6.68,6.41,6.42,1789700,6.251408
2014-09-26,6.42,6.69,6.29,6.63,1904400,6.455893
2014-09-29,6.51,6.55,6.17,6.18,2079900,6.01771
2014-09-30,6.14,6.18,5.92,6.15,3402500,5.988498
2014-10-01,5.97,6.35,5.93,6.12,3016900,5.959286
2014-10-02,6.01,6.05,5.62,5.92,5552600,5.764538
2014-10-03,5.96,6.14,5.84,5.99,2200900,5.832699
2014-10-06,5.97,6.15,5.93,5.96,2783200,5.803487
2014-10-07,5.95,6.24,5.83,5.96,4081500,5.803487
2014-10-08,5.9,5.93,5.7,5.85,3265500,5.696376
2014-10-09,5.82,5.85,4.92,4.99,5866600,4.85896
2014-10-10,4.85,5.16,4.75,5.12,3792200,4.985546
2014-10-13,5.23,5.8,5.08,5.63,3735100,5.482154
2014-10-14,5.68,5.72,5.24,5.62,2567500,5.472416
2014-10-15,5.66,5.78,5.01,5.66,3720700,5.511365
2014-10-16,5.43,5.91,5.43,5.64,1289900,5.491891
2014-10-17,5.75,5.86,5.13,5.37,1656100,5.228981
2014-10-20,5.46,5.46,5.1,5.14,1214700,5.005021
2014-10-21,5.2,5.45,5.2,5.3,1264300,5.16082
2014-10-22,5.29,5.48,5.03,5.1,1593000,4.966071
2014-10-23,5.17,5.22,5.01,5.01,1315100,4.878435
2014-10-24,5.03,5.08,4.95,4.99,1336900,4.85896
2014-10-27,4.94,4.97,4.78,4.8,1853500,4.67395
2014-10-28,4.84,5.15,4.83,5.04,1000100,4.907647
2014-10-29,5.07,5.25,5.07,5.19,842700,5.053708
2014-10-30,5.05,5.18,4.91,4.92,1038700,4.790798
2014-10-31,4.93,4.95,4.75,4.87,1647800,4.742111
2014-11-03,4.89,4.9,4.71,4.76,1346400,4.635
2014-11-04,4.72,4.75,4.5,4.58,1499300,4.459727
2014-11-05,4.65,4.84,4.45,4.55,1665800,4.430515
2014-11-06,4.54,4.77,4.51,4.66,4536400,4.537626
2014-11-07,4.68,5.23,4.62,5.2,3153500,5.063445
2014-11-10,5.25,5.42,5.1,5.17,3144800,5.034233
2014-11-11,5.17,5.26,4.71,4.87,2355200,4.742111
2014-11-12,4.87,5.0,4.69,4.76,1409100,4.635
2014-11-13,4.52,4.87,4.52,4.83,1143900,4.83
2014-11-14,4.75,4.94,4.75,4.77,593300,4.77
2014-11-17,5.09,5.14,4.86,4.98,2757700,4.98
2014-11-18,5.04,5.11,4.99,4.99,3097300,4.99
2014-11-19,5.01,5.08,4.93,5.0,1034400,5.0
2014-11-20,4.99,5.0,4.91,4.94,627300,4.94
2014-11-21,5.01,5.1,5.0,5.1,1572300,5.1
2014-11-24,5.12,5.17,4.92,4.98,1832100,4.98
2014-11-25,5.07,5.09,4.95,4.97,1610300,4.97
2014-11-26,4.97,5.0,4.71,4.71,1247400,4.71
2014-11-28,4.69,4.69,3.59,3.63,2426300,3.63
2014-12-01,3.68,3.68,3.06,3.17,6466000,3.17
2014-12-02,3.18,3.18,2.92,3.03,5522100,3.03
2014-12-03,3.02,3.35,2.98,3.29,3250600,3.29
2014-12-04,3.25,3.34,2.97,2.98,1683700,2.98
2014-12-05,3.02,3.16,2.92,3.02,2575200,3.02
2014-12-08,3.01,3.03,2.64,2.66,2456300,2.66
2014-12-09,2.66,2.93,2.66,2.88,3364600,2.88
2014-12-10,2.87,2.9,2.65,2.75,2530100,2.75
2014-12-11,2.84,3.1,2.8,3.08,3337000,3.08
2014-12-12,3.0,3.2,2.76,3.19,2089400,3.19
2014-12-15,3.17,3.19,2.86,2.9,1877600,2.9
2014-12-16,2.9,3.18,2.86,2.92,2561500,2.92
2014-12-17,2.95,3.5,2.92,3.44,2998300,3.44
2014-12-18,3.51,3.73,3.09,3.2,2803600,3.2
2014-12-19,3.15,3.3,3.05,3.29,3100700,3.29
2014-12-22,3.29,3.31,3.06,3.13,1276500,3.13
2014-12-23,3.16,3.16,2.89,2.94,1523300,2.94
2014-12-24,2.92,2.93,2.77,2.78,896100,2.78
2014-12-26,2.78,2.83,2.67,2.68,1720200,2.68
2014-12-29,2.74,2.74,2.66,2.68,1703300,2.68
2014-12-30,2.65,2.95,2.65,2.86,2116000,2.86
2014-12-31,2.84,2.85,2.67,2.77,3120800,2.77
2015-01-02,2.77,3.2,2.73,3.17,1531700,3.17
2015-01-05,3.0,3.13,2.84,2.92,4374600,2.92
2015-01-06,2.86,2.9,2.53,2.54,4487100,2.54
2015-01-07,2.64,2.7,2.51,2.55,2963700,2.55
2015-01-08,2.57,2.7,2.53,2.54,3946700,2.54
2015-01-09,2.6,2.6,2.26,2.39,2306600,2.39
2015-01-12,2.33,2.5,2.29,2.41,1002000,2.41
2015-01-13,2.33,2.55,2.33,2.52,1008600,2.52
2015-01-14,2.5,2.53,2.26,2.29,1514600,2.29
2015-01-15,2.36,2.38,2.12,2.13,1328100,2.13
2015-01-16,2.13,2.23,2.04,2.19,1167200,2.19
2015-01-20,2.18,2.18,2.01,2.05,1339000,2.05
2015-01-21,2.13,2.34,2.05,2.25,929900,2.25
2015-01-22,2.16,2.28,2.16,2.23,1149600,2.23
2015-01-23,2.3,2.34,2.02,2.06,1434300,2.06
2015-01-26,2.06,2.25,2.01,2.22,1332600,2.22
2015-01-27,2.22,2.24,2.11,2.18,793600,2.18
2015-01-28,2.18,2.23,2.0,2.02,895400,2.02
2015-01-29,2.05,2.21,1.96,2.2,1002600,2.2
2015-01-30,2.21,2.21,2.01,2.09,1330200,2.09
2015-02-02,2.12,2.18,2.02,2.12,1001900,2.12
2015-02-03,2.2,2.76,2.18,2.6,3825000,2.6
2015-02-04,2.48,2.51,2.3,2.49,1687600,2.49
2015-02-05,2.51,2.74,2.46,2.72,1708500,2.72
2015-02-06,2.7,2.98,2.65,2.96,1577000,2.96
2015-02-09,2.96,3.4,2.84,3.35,3108900,3.35
2015-02-10,3.25,3.26,2.91,3.13,2879000,3.13
2015-02-11,3.18,3.18,2.88,2.95,1736600,2.95
2015-02-12,3.05,3.09,2.92,2.95,2255800,2.95
2015-02-13,3.04,3.1,2.82,2.88,1975200,2.88
2015-02-17,3.0,3.02,2.9,2.98,1747200,2.98
2015-02-18,2.98,3.0,2.77,2.77,1969800,2.77
2015-02-19,2.76,2.93,2.71,2.88,1698800,2.88
2015-02-20,3.13,3.14,2.61,2.78,3504600,2.78
2015-02-23,2.7,2.76,2.5,2.53,2389700,2.53
2015-02-24,2.6,2.6,2.27,2.32,2257700,2.32
2015-02-25,2.36,2.38,2.2,2.27,3206900,2.27
2015-02-26,2.23,2.27,2.13,2.16,1915200,2.16
2015-02-27,2.18,2.26,2.01,2.06,1969300,2.06
2015-03-02,2.06,2.1,1.79,1.9,3249900,1.9
2015-03-03,1.86,1.9,1.82,1.85,2202900,1.85
2015-03-04,1.88,1.88,1.72,1.74,3373100,1.74
2015-03-05,1.72,1.75,1.55,1.56,3134600,1.56
2015-03-06,1.56,1.67,1.54,1.59,3151500,1.59
2015-03-09,1.57,1.63,1.36,1.38,3547800,1.38
2015-03-10,1.38,1.49,1.31,1.33,2999500,1.33
2015-03-11,1.33,1.36,1.18,1.2,2816200,1.2
2015-03-12,1.2,1.24,1.09,1.12,3218800,1.12
2015-03-13,1.09,1.31,1.07,1.19,3501800,1.19
2015-03-16,1.18,1.25,1.05,1.2,2623600,1.2
2015-03-17,1.2,1.24,1.12,1.18,1794800,1.18
2015-03-18,1.15,1.47,1.12,1.37,3103300,1.37
2015-03-19,1.37,1.37,1.24,1.29,1835000,1.29
2015-03-20,1.31,1.42,1.23,1.34,6512700,1.34
2015-03-23,1.36,1.57,1.35,1.45,2250200,1.45
2015-03-24,1.48,1.5,1.36,1.36,1254900,1.36
2015-03-25,1.36,1.42,1.25,1.29,1380100,1.29
2015-03-26,1.39,1.4,1.3,1.38,1658800,1.38
2015-03-27,1.38,1.39,1.3,1.35,1466100,1.35
2015-03-30,1.39,1.4,1.26,1.3,1375000,1.3
2015-03-31,1.27,1.32,1.25,1.3,1145800,1.3
2015-04-01,1.27,1.34,1.18,1.24,1820300,1.24
2015-04-02,1.26,1.31,1.2,1.25,1063700,1.25
2015-04-06,1.3,1.36,1.28,1.29,2410800,1.29
2015-04-07,1.3,1.37,1.23,1.29,1425600,1.29
2015-04-08,1.31,1.32,1.2,1.22,1188800,1.22
2015-04-09,1.22,1.62,1.21,1.56,4453000,1.56
2015-04-10,1.52,1.6,1.41,1.54,2388200,1.54
2015-04-13,1.61,1.8,1.61,1.73,3350100,1.73
2015-04-14,1.74,1.82,1.66,1.69,2789400,1.69
2015-04-15,1.69,2.12,1.67,1.99,4613100,1.99
2015-04-16,2.0,2.19,1.92,2.11,2722200,2.11
2015-04-17,2.07,2.16,1.92,1.98,2372400,1.98
2015-04-20,1.99,2.08,1.99,2.02,1488500,2.02
2015-04-21,2.02,2.02,1.69,1.76,5039000,1.76
2015-04-22,1.76,1.88,1.71,1.82,1847000,1.82
2015-04-23,1.84,1.84,1.63,1.69,1661500,1.69
2015-04-24,1.74,1.79,1.68,1.69,1039000,1.69
2015-04-27,1.72,1.76,1.57,1.61,1433800,1.61
2015-04-28,1.67,1.74,1.57,1.63,1086200,1.63
2015-04-29,1.67,1.9,1.61,1.8,1783000,1.8
2015-04-30,1.85,1.87,1.75,1.81,2154200,1.81
2015-05-01,1.83,1.87,1.73,1.73,863700,1.73
2015-05-04,1.76,1.78,1.66,1.69,825600,1.69
