Date,Open,High,Low,Close,Volume,Adj Close
2012-09-20,23.4,23.809999,22.52,22.91,4901200,18.38065
2012-09-21,23.33,23.4,22.799999,23.08,630800,18.517041
2012-09-24,23.25,23.360001,22.889999,23.030001,291500,18.476926
2012-09-25,23.0,23.15,22.889999,23.09,252800,18.525064
2012-09-26,23.16,23.379999,22.889999,23.309999,87400,18.701569
2012-09-27,23.299999,23.5,23.1,23.4,200300,18.773776
2012-09-28,23.389999,24.1,23.389999,24.0,90500,19.255155
2012-10-01,24.24,24.43,23.620001,23.9,253200,19.174925
2012-10-02,23.9,24.030001,23.65,23.77,77800,19.070627
2012-10-03,23.99,23.99,23.09,23.450001,157900,18.813892
2012-10-04,23.790001,23.969999,23.4,23.84,63600,19.126788
2012-10-05,23.860001,25.219999,23.73,24.32,173500,19.51189
2012-10-08,24.360001,24.49,23.700001,23.809999,109500,19.102718
2012-10-09,23.950001,24.17,23.530001,23.809999,75000,19.102718
2012-10-10,24.0,24.190001,23.84,24.1,105900,19.335385
2012-10-11,24.34,24.379999,24.17,24.32,81000,19.51189
2012-10-12,24.49,25.440001,24.48,24.940001,498300,20.009316
2012-10-15,25.73,26.0,25.200001,25.280001,209700,20.282097
2012-10-16,25.57,26.34,24.91,25.26,272700,20.266051
2012-10-17,25.4,25.459999,24.959999,25.01,176900,20.065476
2012-10-18,24.91,25.559999,24.809999,25.209999,282500,20.225935
2012-10-19,25.35,25.540001,25.02,25.110001,337600,20.145706
2012-10-22,25.200001,25.51,25.02,25.1,263700,20.137683
2012-10-23,24.85,25.35,24.809999,24.9,131400,19.977223
2012-10-24,24.9,25.25,24.5,24.5,242000,19.656304
2012-10-25,24.610001,24.950001,24.32,24.35,109300,19.53596
2012-10-26,24.48,24.790001,24.209999,24.4,159900,19.576074
2012-10-31,25.24,25.700001,24.35,24.58,188100,19.720488
2012-11-01,24.93,25.25,24.41,24.610001,153100,19.744557
2012-11-02,24.790001,24.98,23.9,24.08,183400,19.319339
2012-11-05,24.25,24.5,23.76,23.91,181000,19.182948
2012-11-06,23.91,24.280001,23.799999,23.92,118100,19.190971
2012-11-07,24.129999,24.43,23.65,24.219999,80600,19.43166
2012-11-08,24.360001,24.639999,24.040001,24.34,95100,19.527937
2012-11-09,24.209999,24.84,24.1,24.76,80100,19.864902
2012-11-12,24.969999,25.959999,24.91,25.959999,159500,20.827659
2012-11-13,25.700001,25.99,25.110001,25.309999,118400,20.306165
2012-11-14,25.440001,25.440001,24.43,24.66,114800,19.784672
2012-11-15,24.6,24.98,23.790001,24.15,108900,19.398312
2012-11-16,24.15,25.07,23.790001,24.459999,74700,19.647317
2012-11-19,24.700001,25.09,24.18,24.41,128300,19.607155
2012-11-20,24.5,24.66,24.09,24.110001,84600,19.366183
2012-11-21,24.26,24.440001,24.1,24.33,36600,19.542896
2012-11-23,24.299999,24.43,24.059999,24.32,27400,19.534863
2012-11-26,24.190001,24.290001,23.950001,24.23,23300,19.462571
2012-11-27,24.27,24.440001,24.15,24.200001,34500,19.438475
2012-11-28,24.299999,24.75,24.129999,24.549999,37500,19.719609
2012-11-29,24.75,24.9,24.32,24.49,32100,19.671415
2012-11-30,24.379999,25.280001,24.379999,24.969999,107000,20.056971
2012-12-03,25.290001,25.5,25.02,25.25,84400,20.281879
2012-12-04,25.15,25.25,24.780001,24.85,205700,19.960582
2012-12-05,25.219999,25.4,24.98,25.23,68700,20.265814
